date,wind_speed_10m,wind_speed_100m,wind_speed_925hPa,wind_speed_850hPa,wind_speed_700hPa,wind_direction_10m,wind_direction_100m,wind_direction_925hPa,wind_direction_850hPa,wind_direction_700hPa
2026-06-18 00:00:00-05:00,6.5030756,10.523307,6.384377,14.649677,4.4193125,268.23764,273.814,265.9859,282.4751,290.55612
2026-06-18 01:00:00-05:00,8.646965,13.951702,8.750107,20.159594,3.34767,264.02576,265.06592,264.8719,277.21417,281.88864
2026-06-18 02:00:00-05:00,9.27793,14.996666,9.520837,22.216902,2.5103827,262.5687,263.49115,265.96237,277.52982,254.05453
2026-06-18 03:00:00-05:00,9.17878,14.676852,9.614782,22.329128,2.966319,262.48795,264.13412,268.00217,279.46225,215.53777
2026-06-18 04:00:00-05:00,8.881441,14.159802,9.386139,22.069284,3.8165417,262.23492,264.7324,269.31796,281.24545,198.43504
2026-06-18 05:00:00-05:00,8.459312,13.644412,8.827521,21.40476,4.5256567,263.21112,265.37595,269.27478,282.63904,197.74477
2026-06-18 06:00:00-05:00,7.7317524,12.924781,8.047795,20.23179,4.8674455,264.80566,266.4514,268.4089,284.12323,202.93213
2026-06-18 07:00:00-05:00,7.5166483,12.414508,7.605155,19.129007,4.642383,266.186,267.22986,267.47394,284.95587,211.32863
2026-06-18 08:00:00-05:00,8.130191,12.432618,7.952606,18.45238,3.4482756,265.06088,265.8488,265.9718,284.70358,233.13002
2026-06-18 09:00:00-05:00,9.066973,12.567418,8.63883,17.867842,2.9512486,263.03183,264.06268,264.80566,283.9378,276.70975
2026-06-18 10:00:00-05:00,9.552486,12.457928,8.963652,16.79399,3.5876982,263.9911,264.47256,265.71094,283.51254,305.21768
2026-06-18 11:00:00-05:00,9.3,11.799999,8.609879,14.4907675,3.3119607,270.0,270.0,272.23114,284.15765,308.65982
2026-06-18 12:00:00-05:00,8.811923,11.016805,8.08571,11.73671,2.2480006,279.14157,278.35065,281.15463,286.285,302.47116
2026-06-18 13:00:00-05:00,8.17435,10.1138525,7.4593024,9.337105,1.9276447,284.88632,284.31107,286.5349,285.73206,280.30478
2026-06-18 14:00:00-05:00,7.0611615,8.6884985,6.5760617,7.805109,2.931034,282.26477,281.95654,279.78235,278.39285,270.0
2026-06-18 15:00:00-05:00,5.8034477,6.906519,5.8486037,6.8646817,4.3137913,271.97488,272.4895,263.41815,264.71002,267.70944
2026-06-18 16:00:00-05:00,4.707441,5.5108986,5.311671,6.2846537,5.183895,257.73523,258.4862,247.75093,251.20001,266.186
2026-06-18 17:00:00-05:00,4.022437,4.743417,4.7152953,5.558101,5.0118766,235.1246,235.30478,233.67308,239.9315,266.0549
2026-06-18 18:00:00-05:00,3.9357338,4.750789,4.135587,4.8466306,4.137931,207.21602,210.34317,218.41809,229.23648,270.0
